city,state,10th,25th,50th,75th,90th,date,region
Lexington,KY,47252.0,54199.0,61830.0,70620.0,78622.0,"June 26, 2023",Southeast
Louisville,KY,47837.0,54870.0,62595.0,71493.0,79595.0,"June 26, 2023",Southeast
Owensboro,KY,47326.0,54284.0,61927.0,70730.0,78746.0,"June 26, 2023",Southeast
Richmond,KY,46790.0,53669.0,61225.0,69928.0,77853.0,"June 26, 2023",Southeast
Baton Rouge,LA,47358.0,54321.0,61969.0,70778.0,78798.0,"June 26, 2023",Southeast
Bossier City,LA,46330.0,53142.0,60623.0,69242.0,77088.0,"June 26, 2023",Southeast
Houma,LA,48932.0,56126.0,64028.0,73130.0,81417.0,"June 26, 2023",Southeast
Kenner,LA,49308.0,56558.0,64520.0,73692.0,82043.0,"June 26, 2023",Southeast
La Place,LA,48850.0,56032.0,63920.0,73007.0,81280.0,"June 26, 2023",Southeast
Lafayette,LA,45946.0,52701.0,60120.0,68667.0,76448.0,"June 26, 2023",Southeast
Lake Charles,LA,45664.0,52378.0,59752.0,68246.0,75979.0,"June 26, 2023",Southeast
Marrero,LA,49335.0,56588.0,64555.0,73732.0,82088.0,"June 26, 2023",Southeast
Metairie,LA,49335.0,56588.0,64555.0,73732.0,82088.0,"June 26, 2023",Southeast
Monroe,LA,45383.0,52055.0,59384.0,67826.0,75512.0,"June 26, 2023",Southeast
New Iberia,LA,45677.0,52393.0,59769.0,68265.0,76001.0,"June 26, 2023",Southeast
New Orleans,LA,49335.0,56588.0,64555.0,73732.0,82088.0,"June 26, 2023",Southeast
Shreveport,LA,46330.0,53142.0,60623.0,69242.0,77088.0,"June 26, 2023",Southeast
Arlington,MA,56776.0,65124.0,74292.0,84854.0,94469.0,"June 26, 2023",Northeast
Attleboro,MA,53062.0,60863.0,69432.0,79302.0,88289.0,"June 26, 2023",Northeast
Barnstable,MA,53633.0,61519.0,70180.0,80156.0,89240.0,"June 26, 2023",Northeast
Boston,MA,56776.0,65124.0,74292.0,84854.0,94469.0,"June 26, 2023",Northeast
Brockton,MA,55028.0,63118.0,72004.0,82240.0,91560.0,"June 26, 2023",Northeast
Brookline,MA,56776.0,65124.0,74292.0,84854.0,94469.0,"June 26, 2023",Northeast
Cambridge,MA,56776.0,65124.0,74292.0,84854.0,94469.0,"June 26, 2023",Northeast
Chicopee,MA,52647.0,60387.0,68889.0,78682.0,87598.0,"June 26, 2023",Northeast
Fall River,MA,53617.0,61500.0,70158.0,80132.0,89212.0,"June 26, 2023",Northeast
Fitchburg,MA,53725.0,61624.0,70300.0,80293.0,89392.0,"June 26, 2023",Northeast
Framingham,MA,54826.0,62887.0,71741.0,81939.0,91224.0,"June 26, 2023",Northeast
Haverhill,MA,53818.0,61731.0,70422.0,80433.0,89547.0,"June 26, 2023",Northeast
Holyoke,MA,52647.0,60387.0,68889.0,78682.0,87598.0,"June 26, 2023",Northeast
Hyannis,MA,53447.0,61305.0,69936.0,79879.0,88930.0,"June 26, 2023",Northeast
Lawrence,MA,53818.0,61731.0,70422.0,80433.0,89547.0,"June 26, 2023",Northeast
Leominster,MA,53060.0,60862.0,69430.0,79300.0,88286.0,"June 26, 2023",Northeast
Lowell,MA,54972.0,63054.0,71932.0,82157.0,91467.0,"June 26, 2023",Northeast
Lynn,MA,56776.0,65124.0,74292.0,84854.0,94469.0,"June 26, 2023",Northeast
Malden,MA,56776.0,65124.0,74292.0,84854.0,94469.0,"June 26, 2023",Northeast
Medford,MA,56776.0,65124.0,74292.0,84854.0,94469.0,"June 26, 2023",Northeast
Methuen,MA,53818.0,61731.0,70422.0,80433.0,89547.0,"June 26, 2023",Northeast
New Bedford,MA,53617.0,61500.0,70158.0,80132.0,89212.0,"June 26, 2023",Northeast
Newton,MA,56776.0,65124.0,74292.0,84854.0,94469.0,"June 26, 2023",Northeast
Peabody,MA,56709.0,65046.0,74204.0,84753.0,94357.0,"June 26, 2023",Northeast
Pittsfield,MA,51443.0,59007.0,67314.0,76883.0,85596.0,"June 26, 2023",Northeast
Plymouth,MA,54451.0,62456.0,71249.0,81378.0,90600.0,"June 26, 2023",Northeast
Quincy,MA,56776.0,65124.0,74292.0,84854.0,94469.0,"June 26, 2023",Northeast
Revere,MA,56776.0,65124.0,74292.0,84854.0,94469.0,"June 26, 2023",Northeast
Salem,MA,56709.0,65046.0,74204.0,84753.0,94357.0,"June 26, 2023",Northeast
Somerville,MA,56776.0,65124.0,74292.0,84854.0,94469.0,"June 26, 2023",Northeast
Springfield,MA,52647.0,60387.0,68889.0,78682.0,87598.0,"June 26, 2023",Northeast
Taunton,MA,54977.0,63060.0,71938.0,82165.0,91476.0,"June 26, 2023",Northeast
Waltham,MA,56776.0,65124.0,74292.0,84854.0,94469.0,"June 26, 2023",Northeast
Westfield,MA,52647.0,60387.0,68889.0,78682.0,87598.0,"June 26, 2023",Northeast
Worcester,MA,53178.0,60997.0,69584.0,79476.0,88483.0,"June 26, 2023",Northeast
Baltimore,MD,51803.0,59419.0,67784.0,77420.0,86194.0,"June 26, 2023",Northeast
Bethesda,MD,56096.0,64343.0,73402.0,83837.0,93337.0,"June 26, 2023",Northeast
Bowie,MD,55978.0,64208.0,73248.0,83661.0,93141.0,"June 26, 2023",Northeast
Columbia,MD,51718.0,59322.0,67674.0,77295.0,86054.0,"June 26, 2023",Northeast
Dundalk,MD,51803.0,59419.0,67784.0,77420.0,86194.0,"June 26, 2023",Northeast
Ellicott City,MD,51769.0,59380.0,67740.0,77370.0,86137.0,"June 26, 2023",Northeast
Frederick,MD,54127.0,62085.0,70825.0,80894.0,90060.0,"June 26, 2023",Northeast
Gaithersburg,MD,55945.0,64170.0,73204.0,83611.0,93086.0,"June 26, 2023",Northeast
Germantown,MD,54446.0,62451.0,71243.0,81371.0,90592.0,"June 26, 2023",Northeast
Glen Burnie,MD,51803.0,59419.0,67784.0,77420.0,86194.0,"June 26, 2023",Northeast
Potomac,MD,56062.0,64305.0,73358.0,83786.0,93281.0,"June 26, 2023",Northeast
Rockville,MD,56028.0,64266.0,73314.0,83736.0,93225.0,"June 26, 2023",Northeast
Silver Spring,MD,56096.0,64343.0,73402.0,83837.0,93337.0,"June 26, 2023",Northeast
Towson,MD,51803.0,59419.0,67784.0,77420.0,86194.0,"June 26, 2023",Northeast
Waldorf,MD,55945.0,64170.0,73204.0,83611.0,93086.0,"June 26, 2023",Northeast
Auburn,ME,49197.0,56431.0,64375.0,73527.0,81859.0,"June 26, 2023",Northeast
Augusta,ME,47373.0,54338.0,61988.0,70800.0,78823.0,"June 26, 2023",Northeast
Bangor,ME,46052.0,52823.0,60259.0,68826.0,76625.0,"June 26, 2023",Northeast
Biddeford,ME,49466.0,56739.0,64727.0,73929.0,82306.0,"June 26, 2023",Northeast
Lewiston,ME,49197.0,56431.0,64375.0,73527.0,81859.0,"June 26, 2023",Northeast
Portland,ME,49701.0,57009.0,65035.0,74280.0,82697.0,"June 26, 2023",Northeast
Saco,ME,49600.0,56893.0,64903.0,74129.0,82529.0,"June 26, 2023",Northeast
South Portland,ME,49701.0,57009.0,65035.0,74280.0,82697.0,"June 26, 2023",Northeast
Westbrook,ME,49701.0,57009.0,65035.0,74280.0,82697.0,"June 26, 2023",Northeast
Windham,ME,49668.0,56970.0,64991.0,74230.0,82642.0,"June 26, 2023",Northeast
Ann Arbor,MI,51999.0,59644.0,68041.0,77714.0,86521.0,"June 26, 2023",Midwest
Battle Creek,MI,49938.0,57280.0,65345.0,74634.0,83091.0,"June 26, 2023",Midwest
Benton Harbor,MI,48754.0,55922.0,63795.0,72864.0,81121.0,"June 26, 2023",Midwest
Canton,MI,51918.0,59552.0,67936.0,77594.0,86386.0,"June 26, 2023",Midwest
Dearborn,MI,50951.0,58442.0,66670.0,76148.0,84777.0,"June 26, 2023",Midwest
Dearborn Heights,MI,50924.0,58411.0,66634.0,76107.0,84731.0,"June 26, 2023",Midwest
Detroit,MI,50951.0,58442.0,66670.0,76148.0,84777.0,"June 26, 2023",Midwest
Farmington,MI,50736.0,58195.0,66388.0,75826.0,84419.0,"June 26, 2023",Midwest
Flint,MI,46972.0,53878.0,61463.0,70201.0,78156.0,"June 26, 2023",Midwest
Grand Rapids,MI,48870.0,56055.0,63947.0,73037.0,81314.0,"June 26, 2023",Midwest
Kalamazoo,MI,49176.0,56406.0,64347.0,73494.0,81823.0,"June 26, 2023",Midwest
Lansing,MI,48779.0,55951.0,63828.0,72902.0,81163.0,"June 26, 2023",Midwest
Livonia,MI,50790.0,58257.0,66459.0,75907.0,84508.0,"June 26, 2023",Midwest
Muskegon,MI,47131.0,54061.0,61672.0,70439.0,78421.0,"June 26, 2023",Midwest
Novi,MI,51757.0,59367.0,67725.0,77353.0,86118.0,"June 26, 2023",Midwest
Pontiac,MI,50957.0,58448.0,66677.0,76156.0,84786.0,"June 26, 2023",Midwest
Royal Oak,MI,50897.0,58380.0,66599.0,76067.0,84687.0,"June 26, 2023",Midwest
Saginaw,MI,47227.0,54171.0,61797.0,70582.0,78580.0,"June 26, 2023",Midwest
Southfield,MI,50843.0,58318.0,66529.0,75986.0,84597.0,"June 26, 2023",Midwest
Sterling Heights,MI,50790.0,58257.0,66459.0,75907.0,84508.0,"June 26, 2023",Midwest
Taylor,MI,50870.0,58350.0,66564.0,76027.0,84642.0,"June 26, 2023",Midwest
Troy,MI,50763.0,58226.0,66423.0,75866.0,84463.0,"June 26, 2023",Midwest
Warren,MI,50951.0,58442.0,66670.0,76148.0,84777.0,"June 26, 2023",Midwest
Waterford,MI,50993.0,58491.0,66725.0,76211.0,84847.0,"June 26, 2023",Midwest
West Bloomfield,MI,51064.0,58572.0,66818.0,76317.0,84965.0,"June 26, 2023",Midwest
Westland,MI,51273.0,58812.0,67092.0,76630.0,85313.0,"June 26, 2023",Midwest
Wyoming,MI,48870.0,56055.0,63947.0,73037.0,81314.0,"June 26, 2023",Midwest
Burnsville,MN,53536.0,61407.0,70052.0,80011.0,89078.0,"June 26, 2023",Midwest
Duluth,MN,48250.0,55344.0,63136.0,72111.0,80282.0,"June 26, 2023",Midwest
Eden Prairie,MN,53597.0,61477.0,70132.0,80101.0,89178.0,"June 26, 2023",Midwest
Lakeville,MN,53355.0,61199.0,69815.0,79740.0,88776.0,"June 26, 2023",Midwest
Minneapolis,MN,53687.0,61581.0,70250.0,80237.0,89329.0,"June 26, 2023",Midwest
Minnetonka,MN,53687.0,61581.0,70250.0,80237.0,89329.0,"June 26, 2023",Midwest
Rochester,MN,50518.0,57945.0,66103.0,75500.0,84055.0,"June 26, 2023",Midwest
Saint Cloud,MN,48331.0,55436.0,63241.0,72231.0,80417.0,"June 26, 2023",Midwest
Saint Paul,MN,53687.0,61581.0,70250.0,80237.0,89329.0,"June 26, 2023",Midwest
Blue Springs,MO,49231.0,56469.0,64419.0,73577.0,81915.0,"June 26, 2023",Midwest
Chesterfield,MO,49320.0,56572.0,64536.0,73710.0,82063.0,"June 26, 2023",Midwest
Columbia,MO,49045.0,56255.0,64175.0,73299.0,81605.0,"June 26, 2023",Midwest
Florissant,MO,49535.0,56818.0,64817.0,74031.0,82420.0,"June 26, 2023",Midwest
Independence,MO,49366.0,56624.0,64595.0,73778.0,82139.0,"June 26, 2023",Midwest
Jefferson City,MO,47958.0,55009.0,62753.0,71674.0,79796.0,"June 26, 2023",Midwest
Kansas City,MO,49419.0,56685.0,64665.0,73858.0,82228.0,"June 26, 2023",Midwest
Lees Summit,MO,49231.0,56469.0,64419.0,73577.0,81915.0,"June 26, 2023",Midwest
O Fallon,MO,49212.0,56448.0,64395.0,73549.0,81884.0,"June 26, 2023",Midwest
Saint Charles,MO,49347.0,56602.0,64571.0,73750.0,82108.0,"June 26, 2023",Midwest
Saint Joseph,MO,48942.0,56138.0,64042.0,73146.0,81434.0,"June 26, 2023",Midwest
Saint Louis,MO,49616.0,56910.0,64923.0,74152.0,82555.0,"June 26, 2023",Midwest
Saint Peters,MO,49240.0,56479.0,64431.0,73590.0,81929.0,"June 26, 2023",Midwest
Springfield,MO,47106.0,54032.0,61639.0,70401.0,78379.0,"June 26, 2023",Midwest
Biloxi,MS,44662.0,51229.0,58441.0,66749.0,74313.0,"June 26, 2023",Southeast
Columbus,MS,42964.0,49281.0,56219.0,64211.0,71487.0,"June 26, 2023",Southeast
Greenville,MS,44798.0,51385.0,58619.0,66952.0,74539.0,"June 26, 2023",Southeast
Gulfport,MS,44309.0,50824.0,57979.0,66222.0,73726.0,"June 26, 2023",Southeast
Hattiesburg,MS,44032.0,50506.0,57617.0,65807.0,73264.0,"June 26, 2023",Southeast
Jackson,MS,45104.0,51735.0,59018.0,67408.0,75047.0,"June 26, 2023",Southeast
Meridian,MS,44667.0,51234.0,58447.0,66756.0,74321.0,"June 26, 2023",Southeast
Olive Branch,MS,46510.0,53348.0,60859.0,69510.0,77387.0,"June 26, 2023",Southeast
Pascagoula,MS,44455.0,50992.0,58170.0,66440.0,73969.0,"June 26, 2023",Southeast
Southaven,MS,46627.0,53483.0,61012.0,69686.0,77583.0,"June 26, 2023",Southeast
Tupelo,MS,42510.0,48760.0,55625.0,63533.0,70732.0,"June 26, 2023",Southeast
Belgrade,MT,42556.0,48812.0,55685.0,63601.0,70808.0,"June 26, 2023",West
Billings,MT,48477.0,55604.0,63432.0,72450.0,80660.0,"June 26, 2023",West
Bozeman,MT,42556.0,48812.0,55685.0,63601.0,70808.0,"June 26, 2023",West
Butte,MT,42556.0,48812.0,55685.0,63601.0,70808.0,"June 26, 2023",West
Great Falls,MT,44380.0,50905.0,58072.0,66327.0,73843.0,"June 26, 2023",West
Helena,MT,43312.0,49679.0,56674.0,64730.0,72066.0,"June 26, 2023",West
Kalispell,MT,45128.0,51763.0,59050.0,67445.0,75087.0,"June 26, 2023",West
Missoula,MT,42556.0,48812.0,55685.0,63601.0,70808.0,"June 26, 2023",West
Asheville,NC,46321.0,53132.0,60612.0,69229.0,77074.0,"June 26, 2023",Southeast
Burlington,NC,47947.0,54997.0,62739.0,71658.0,79778.0,"June 26, 2023",Southeast
Cary,NC,49117.0,56338.0,64270.0,73406.0,81725.0,"June 26, 2023",Southeast
Chapel Hill,NC,48532.0,55668.0,63505.0,72533.0,80752.0,"June 26, 2023",Southeast
Charlotte,NC,49227.0,56464.0,64413.0,73570.0,81907.0,"June 26, 2023",Southeast
Concord,NC,48312.0,55416.0,63217.0,72204.0,80386.0,"June 26, 2023",Southeast
Durham,NC,48823.0,56002.0,63886.0,72968.0,81237.0,"June 26, 2023",Southeast
Fayetteville,NC,46239.0,53038.0,60505.0,69106.0,76937.0,"June 26, 2023",Southeast
Gastonia,NC,49429.0,56696.0,64679.0,73873.0,82244.0,"June 26, 2023",Southeast
Greensboro,NC,48159.0,55239.0,63016.0,71975.0,80131.0,"June 26, 2023",Southeast
Greenville,NC,48764.0,55933.0,63808.0,72879.0,81138.0,"June 26, 2023",Southeast
Hickory,NC,48892.0,56080.0,63976.0,73070.0,81351.0,"June 26, 2023",Southeast
High Point,NC,48447.0,55569.0,63393.0,72405.0,80609.0,"June 26, 2023",Southeast
Jacksonville,NC,46063.0,52835.0,60274.0,68842.0,76643.0,"June 26, 2023",Southeast
Kannapolis,NC,47704.0,54718.0,62421.0,71295.0,79374.0,"June 26, 2023",Southeast
Raleigh,NC,49117.0,56338.0,64270.0,73406.0,81725.0,"June 26, 2023",Southeast
Rocky Mount,NC,48764.0,55933.0,63808.0,72879.0,81138.0,"June 26, 2023",Southeast
Salisbury,NC,47822.0,54853.0,62575.0,71471.0,79570.0,"June 26, 2023",Southeast
Wilmington,NC,46416.0,53240.0,60735.0,69370.0,77230.0,"June 26, 2023",Southeast
Wilson,NC,48764.0,55933.0,63808.0,72879.0,81138.0,"June 26, 2023",Southeast
Winston Salem,NC,48326.0,55431.0,63235.0,72224.0,80408.0,"June 26, 2023",Southeast
Bismarck,ND,49192.0,56425.0,64369.0,73519.0,81850.0,"June 26, 2023",Midwest
Dickinson,ND,48436.0,55558.0,63380.0,72390.0,80593.0,"June 26, 2023",Midwest
Fargo,ND,47277.0,54228.0,61863.0,70657.0,78664.0,"June 26, 2023",Midwest
Grand Forks,ND,45257.0,51911.0,59219.0,67637.0,75302.0,"June 26, 2023",Midwest
Mandan,ND,49192.0,56425.0,64369.0,73519.0,81850.0,"June 26, 2023",Midwest
Minot,ND,48436.0,55558.0,63380.0,72390.0,80593.0,"June 26, 2023",Midwest
West Fargo,ND,47277.0,54228.0,61863.0,70657.0,78664.0,"June 26, 2023",Midwest
Williston,ND,48436.0,55558.0,63380.0,72390.0,80593.0,"June 26, 2023",Midwest
Bellevue,NE,47642.0,54647.0,62340.0,71203.0,79271.0,"June 26, 2023",Midwest
Fremont,NE,46886.0,53780.0,61351.0,70073.0,78014.0,"June 26, 2023",Midwest
Grand Island,NE,46566.0,53413.0,60933.0,69595.0,77481.0,"June 26, 2023",Midwest
Hastings,NE,46566.0,53413.0,60933.0,69595.0,77481.0,"June 26, 2023",Midwest
Kearney,NE,46566.0,53413.0,60933.0,69595.0,77481.0,"June 26, 2023",Midwest
Lincoln,NE,47221.0,54164.0,61790.0,70574.0,78571.0,"June 26, 2023",Midwest
Norfolk,NE,43291.0,49656.0,56647.0,64700.0,72032.0,"June 26, 2023",Midwest
North Platte,NE,45691.0,52408.0,59787.0,68286.0,76024.0,"June 26, 2023",Midwest
Omaha,NE,47642.0,54647.0,62340.0,71203.0,79271.0,"June 26, 2023",Midwest
Bedford,NH,51702.0,59303.0,67652.0,77270.0,86026.0,"June 26, 2023",Northeast
Concord,NH,51712.0,59315.0,67666.0,77285.0,86043.0,"June 26, 2023",Northeast
Derry,NH,53104.0,60912.0,69487.0,79366.0,88359.0,"June 26, 2023",Northeast
Dover,NH,51954.0,59592.0,67982.0,77646.0,86445.0,"June 26, 2023",Northeast
Keene,NH,52229.0,59908.0,68342.0,78057.0,86903.0,"June 26, 2023",Northeast
Manchester,NH,51702.0,59303.0,67652.0,77270.0,86026.0,"June 26, 2023",Northeast
Merrimack,NH,54625.0,62656.0,71477.0,81638.0,90889.0,"June 26, 2023",Northeast
Nashua,NH,54625.0,62656.0,71477.0,81638.0,90889.0,"June 26, 2023",Northeast
Portsmouth,NH,51954.0,59592.0,67982.0,77646.0,86445.0,"June 26, 2023",Northeast
Rochester,NH,51742.0,59349.0,67705.0,77330.0,86093.0,"June 26, 2023",Northeast
Salem,NH,53818.0,61731.0,70422.0,80433.0,89547.0,"June 26, 2023",Northeast
Atlantic City,NJ,53977.0,61914.0,70630.0,80671.0,89812.0,"June 26, 2023",Northeast
Bayonne,NJ,57043.0,65430.0,74642.0,85253.0,94913.0,"June 26, 2023",Northeast
Bergenfield,NJ,58051.0,66586.0,75961.0,86759.0,96590.0,"June 26, 2023",Northeast
Bloomfield,NJ,58102.0,66644.0,76026.0,86834.0,96674.0,"June 26, 2023",Northeast
Camden,NJ,53476.0,61338.0,69973.0,79921.0,88977.0,"June 26, 2023",Northeast
Clifton,NJ,58102.0,66644.0,76026.0,86834.0,96674.0,"June 26, 2023",Northeast
East Brunswick,NJ,56973.0,65349.0,74549.0,85147.0,94796.0,"June 26, 2023",Northeast
East Orange,NJ,57043.0,65430.0,74642.0,85253.0,94913.0,"June 26, 2023",Northeast
Edison,NJ,56539.0,64852.0,73982.0,84500.0,94075.0,"June 26, 2023",Northeast
Elizabeth,NJ,57043.0,65430.0,74642.0,85253.0,94913.0,"June 26, 2023",Northeast
Hackensack,NJ,58051.0,66586.0,75961.0,86759.0,96590.0,"June 26, 2023",Northeast
Hoboken,NJ,59210.0,67916.0,77477.0,88491.0,98519.0,"June 26, 2023",Northeast
Irvington,NJ,57043.0,65430.0,74642.0,85253.0,94913.0,"June 26, 2023",Northeast
Jersey City,NJ,59210.0,67916.0,77477.0,88491.0,98519.0,"June 26, 2023",Northeast
Lakewood,NJ,56233.0,64500.0,73581.0,84041.0,93564.0,"June 26, 2023",Northeast
Middlesex,NJ,56539.0,64852.0,73982.0,84500.0,94075.0,"June 26, 2023",Northeast
New Brunswick,NJ,56973.0,65349.0,74549.0,85147.0,94796.0,"June 26, 2023",Northeast
Newark,NJ,57043.0,65430.0,74642.0,85253.0,94913.0,"June 26, 2023",Northeast
Paramus,NJ,58152.0,66702.0,76092.0,86910.0,96758.0,"June 26, 2023",Northeast
Passaic,NJ,58102.0,66644.0,76026.0,86834.0,96674.0,"June 26, 2023",Northeast
Paterson,NJ,58102.0,66644.0,76026.0,86834.0,96674.0,"June 26, 2023",Northeast
Perth Amboy,NJ,56539.0,64852.0,73982.0,84500.0,94075.0,"June 26, 2023",Northeast
Plainfield,NJ,56539.0,64852.0,73982.0,84500.0,94075.0,"June 26, 2023",Northeast
Sayreville,NJ,56973.0,65349.0,74549.0,85147.0,94796.0,"June 26, 2023",Northeast
Somerset,NJ,56746.0,65089.0,74253.0,84808.0,94419.0,"June 26, 2023",Northeast
Toms River,NJ,55383.0,63526.0,72470.0,82772.0,92152.0,"June 26, 2023",Northeast
Trenton,NJ,54963.0,63044.0,71920.0,82144.0,91452.0,"June 26, 2023",Northeast
Union,NJ,57043.0,65430.0,74642.0,85253.0,94913.0,"June 26, 2023",Northeast
Union City,NJ,59210.0,67916.0,77477.0,88491.0,98519.0,"June 26, 2023",Northeast
Vineland,NJ,53571.0,61448.0,70099.0,80064.0,89137.0,"June 26, 2023",Northeast
Wayne,NJ,58102.0,66644.0,76026.0,86834.0,96674.0,"June 26, 2023",Northeast
West New York,NJ,59210.0,67916.0,77477.0,88491.0,98519.0,"June 26, 2023",Northeast
West Orange,NJ,57043.0,65430.0,74642.0,85253.0,94913.0,"June 26, 2023",Northeast
Alamogordo,NM,44949.0,51558.0,58817.0,67178.0,74790.0,"June 26, 2023",Southwest
Albuquerque,NM,47380.0,54346.0,61998.0,70811.0,78835.0,"June 26, 2023",Southwest
Clovis,NM,45395.0,52070.0,59400.0,67844.0,75533.0,"June 26, 2023",Southwest
Farmington,NM,46744.0,53617.0,61165.0,69861.0,77777.0,"June 26, 2023",Southwest
Hobbs,NM,44985.0,51598.0,58863.0,67231.0,74849.0,"June 26, 2023",Southwest
Las Cruces,NM,42833.0,49130.0,56047.0,64015.0,71269.0,"June 26, 2023",Southwest
Rio Rancho,NM,47229.0,54173.0,61800.0,70585.0,78584.0,"June 26, 2023",Southwest
Roswell,NM,44193.0,50691.0,57828.0,66048.0,73533.0,"June 26, 2023",Southwest
Santa Fe,NM,47620.0,54621.0,62311.0,71169.0,79234.0,"June 26, 2023",Southwest
Sunland Park,NM,44076.0,50556.0,57674.0,65873.0,73337.0,"June 26, 2023",Southwest
Carson City,NV,50795.0,58263.0,66465.0,75914.0,84517.0,"June 26, 2023",West
Henderson,NV,51022.0,58523.0,66762.0,76253.0,84894.0,"June 26, 2023",West
Las Vegas,NV,51223.0,58754.0,67026.0,76554.0,85229.0,"June 26, 2023",West
North Las Vegas,NV,51223.0,58754.0,67026.0,76554.0,85229.0,"June 26, 2023",West
Reno,NV,50865.0,58344.0,66558.0,76020.0,84634.0,"June 26, 2023",West
Sparks,NV,50865.0,58344.0,66558.0,76020.0,84634.0,"June 26, 2023",West
Sun Valley,NV,50865.0,58344.0,66558.0,76020.0,84634.0,"June 26, 2023",West
Albany,NY,51137.0,58656.0,66914.0,76426.0,85087.0,"June 26, 2023",Northeast
Binghamton,NY,48567.0,55707.0,63550.0,72585.0,80810.0,"June 26, 2023",Northeast
Brentwood,NY,55296.0,63426.0,72355.0,82641.0,92006.0,"June 26, 2023",Northeast
Bronx,NY,59210.0,67916.0,77477.0,88491.0,98519.0,"June 26, 2023",Northeast
Brooklyn,NY,59210.0,67916.0,77477.0,88491.0,98519.0,"June 26, 2023",Northeast
Buffalo,NY,49198.0,56432.0,64377.0,73528.0,81860.0,"June 26, 2023",Northeast
Clay,NY,50116.0,57485.0,65578.0,74900.0,83388.0,"June 26, 2023",Northeast
Henrietta,NY,49676.0,56979.0,65001.0,74241.0,82654.0,"June 26, 2023",Northeast
Huntington,NY,57562.0,66025.0,75321.0,86028.0,95777.0,"June 26, 2023",Northeast
Jamestown,NY,47726.0,54743.0,62450.0,71328.0,79410.0,"June 26, 2023",Northeast
Levittown,NY,55396.0,63540.0,72486.0,82790.0,92172.0,"June 26, 2023",Northeast
Mount Vernon,NY,58059.0,66595.0,75971.0,86771.0,96604.0,"June 26, 2023",Northeast
Nassau,NY,55396.0,63540.0,72486.0,82790.0,92172.0,"June 26, 2023",Northeast
New Rochelle,NY,57456.0,65903.0,75181.0,85869.0,95599.0,"June 26, 2023",Northeast
New Suffolk,NY,54637.0,62670.0,71493.0,81657.0,90910.0,"June 26, 2023",Northeast
New York,NY,59210.0,67916.0,77477.0,88491.0,98519.0,"June 26, 2023",Northeast
Niagara Falls,NY,49098.0,56316.0,64245.0,73378.0,81693.0,"June 26, 2023",Northeast
Poughkeepsie,NY,54272.0,62251.0,71015.0,81111.0,90302.0,"June 26, 2023",Northeast
Queens Village,NY,58706.0,67338.0,76818.0,87738.0,97680.0,"June 26, 2023",Northeast
Rochester,NY,49676.0,56979.0,65001.0,74241.0,82654.0,"June 26, 2023",Northeast
Schenectady,NY,51013.0,58513.0,66751.0,76240.0,84880.0,"June 26, 2023",Northeast
Staten Island,NY,56539.0,64852.0,73982.0,84500.0,94075.0,"June 26, 2023",Northeast
Syracuse,NY,50116.0,57485.0,65578.0,74900.0,83388.0,"June 26, 2023",Northeast
Troy,NY,51117.0,58633.0,66887.0,76396.0,85053.0,"June 26, 2023",Northeast
Utica,NY,49061.0,56274.0,64197.0,73323.0,81632.0,"June 26, 2023",Northeast
Yonkers,NY,58084.0,66624.0,76004.0,86809.0,96646.0,"June 26, 2023",Northeast
Akron,OH,48381.0,55494.0,63307.0,72307.0,80500.0,"June 26, 2023",Midwest
Canton,OH,47391.0,54359.0,62012.0,70828.0,78854.0,"June 26, 2023",Midwest
Chillicothe,OH,46612.0,53465.0,60993.0,69663.0,77557.0,"June 26, 2023",Midwest
Cincinnati,OH,49278.0,56523.0,64481.0,73647.0,81993.0,"June 26, 2023",Midwest
Cleveland,OH,49744.0,57058.0,65091.0,74344.0,82768.0,"June 26, 2023",Midwest
Columbus,OH,49478.0,56753.0,64743.0,73946.0,82326.0,"June 26, 2023",Midwest
Cuyahoga Falls,OH,48381.0,55494.0,63307.0,72307.0,80500.0,"June 26, 2023",Midwest
Dayton,OH,48885.0,56072.0,63966.0,73060.0,81339.0,"June 26, 2023",Midwest
Elyria,OH,48603.0,55749.0,63597.0,72638.0,80869.0,"June 26, 2023",Midwest
Euclid,OH,49704.0,57011.0,65038.0,74284.0,82701.0,"June 26, 2023",Midwest
Hamilton,OH,49076.0,56292.0,64217.0,73346.0,81657.0,"June 26, 2023",Midwest
Lakewood,OH,49744.0,57058.0,65091.0,74344.0,82768.0,"June 26, 2023",Midwest
Lima,OH,47570.0,54564.0,62245.0,71094.0,79150.0,"June 26, 2023",Midwest
Lorain,OH,49218.0,56454.0,64402.0,73557.0,81892.0,"June 26, 2023",Midwest
Mansfield,OH,48454.0,55578.0,63403.0,72416.0,80622.0,"June 26, 2023",Midwest
Middletown,OH,48683.0,55841.0,63703.0,72759.0,81003.0,"June 26, 2023",Midwest
Newark,OH,49176.0,56406.0,64347.0,73494.0,81823.0,"June 26, 2023",Midwest
Portsmouth,OH,46008.0,52772.0,60201.0,68760.0,76551.0,"June 26, 2023",Midwest
Springfield,OH,47842.0,54876.0,62602.0,71501.0,79603.0,"June 26, 2023",Midwest
Toledo,OH,48693.0,55853.0,63716.0,72774.0,81020.0,"June 26, 2023",Midwest
Youngstown,OH,47459.0,54436.0,62100.0,70928.0,78966.0,"June 26, 2023",Midwest
Altus,OK,42732.0,49015.0,55915.0,63864.0,71101.0,"June 26, 2023",Southwest
