city,state,10th,25th,50th,75th,90th,date,region
Fairfield,CA,56529.0,64841.0,73969.0,84485.0,94058.0,"June 26, 2023",West
Fontana,CA,53909.0,61835.0,70540.0,80568.0,89698.0,"June 26, 2023",West
Fremont,CA,63121.0,72401.0,82594.0,94335.0,105025.0,"June 26, 2023",West
Fresno,CA,50492.0,57916.0,66070.0,75462.0,84014.0,"June 26, 2023",West
Fullerton,CA,56313.0,64592.0,73686.0,84161.0,93698.0,"June 26, 2023",West
Garden Grove,CA,56313.0,64592.0,73686.0,84161.0,93698.0,"June 26, 2023",West
Glendale,CA,56575.0,64893.0,74029.0,84552.0,94134.0,"June 26, 2023",West
Hayward,CA,61377.0,70401.0,80312.0,91730.0,102124.0,"June 26, 2023",West
Huntington Beach,CA,56187.0,64447.0,73521.0,83972.0,93488.0,"June 26, 2023",West
Inglewood,CA,56575.0,64893.0,74029.0,84552.0,94134.0,"June 26, 2023",West
Irvine,CA,56187.0,64447.0,73521.0,83972.0,93488.0,"June 26, 2023",West
Lancaster,CA,56272.0,64546.0,73633.0,84100.0,93631.0,"June 26, 2023",West
Lompoc,CA,54070.0,62020.0,70751.0,80809.0,89967.0,"June 26, 2023",West
Long Beach,CA,56187.0,64447.0,73521.0,83972.0,93488.0,"June 26, 2023",West
Los Angeles,CA,56575.0,64893.0,74029.0,84552.0,94134.0,"June 26, 2023",West
Modesto,CA,53486.0,61349.0,69987.0,79936.0,88994.0,"June 26, 2023",West
Monterey,CA,55952.0,64178.0,73214.0,83622.0,93097.0,"June 26, 2023",West
Murrieta,CA,54959.0,63039.0,71914.0,82137.0,91445.0,"June 26, 2023",West
Newhall,CA,55979.0,64209.0,73249.0,83662.0,93143.0,"June 26, 2023",West
Norwalk,CA,56240.0,64508.0,73590.0,84052.0,93576.0,"June 26, 2023",West
Oakland,CA,61478.0,70517.0,80444.0,91880.0,102292.0,"June 26, 2023",West
Oceanside,CA,54459.0,62466.0,71260.0,81390.0,90613.0,"June 26, 2023",West
Ontario,CA,53828.0,61742.0,70435.0,80448.0,89564.0,"June 26, 2023",West
