city,state,10th,25th,50th,75th,90th,date
Palmdale,CA,55995,64228,73270,83686,93170,"June 26, 2023"
Pasadena,CA,56575,64893,74029,84552,94134,"June 26, 2023"
Petaluma,CA,56499,64806,73930,84439,94008,"June 26, 2023"
Pomona,CA,55976,64206,73245,83658,93138,"June 26, 2023"
Rancho Cucamonga,CA,53645,61533,70196,80174,89260,"June 26, 2023"
Rialto,CA,53684,61577,70246,80232,89324,"June 26, 2023"
Riverside,CA,53909,61835,70540,80568,89698,"June 26, 2023"
Roseville,CA,54428,62430,71220,81344,90562,"June 26, 2023"
Sacramento,CA,54569,62592,71404,81555,90797,"June 26, 2023"
Salinas,CA,55831,64039,73055,83441,92896,"June 26, 2023"
San Bernardino,CA,53684,61577,70246,80232,89324,"June 26, 2023"
San Diego,CA,54381,62376,71158,81273,90483,"June 26, 2023"
San Francisco,CA,62990,72251,82422,94140,104807,"June 26, 2023"
San Jose,CA,63241,72540,82752,94516,105227,"June 26, 2023"
Santa Ana,CA,56237,64505,73587,84048,93572,"June 26, 2023"
Santa Barbara,CA,54282,62263,71028,81126,90319,"June 26, 2023"
Santa Clara,CA,63241,72540,82752,94516,105227,"June 26, 2023"
Santa Clarita,CA,55848,64059,73078,83466,92925,"June 26, 2023"
Santa Cruz,CA,56051,64291,73343,83769,93262,"June 26, 2023"
Santa Maria,CA,54690,62730,71562,81735,90997,"June 26, 2023"
Santa Rosa,CA,55693,63881,72875,83234,92666,"June 26, 2023"
Simi Valley,CA,55063,63159,72050,82293,91618,"June 26, 2023"
Stockton,CA,53854,61771,70468,80486,89606,"June 26, 2023"
Temecula,CA,54201,62170,70922,81004,90184,"June 26, 2023"
Thousand Oaks,CA,54695,62737,71569,81743,91006,"June 26, 2023"
Torrance,CA,56187,64447,73521,83972,93488,"June 26, 2023"
Vallejo,CA,56691,65025,74180,84726,94327,"June 26, 2023"
Ventura,CA,54020,61962,70686,80734,89883,"June 26, 2023"
Victorville,CA,53474,61336,69971,79918,88975,"June 26, 2023"
Visalia,CA,50190,57569,65674,75010,83510,"June 26, 2023"
West Covina,CA,56192,64453,73527,83980,93497,"June 26, 2023"
Arvada,CO,51213,58743,67013,76539,85213,"June 26, 2023"
Aurora,CO,51179,58704,66969,76489,85156,"June 26, 2023"
Boulder,CO,51672,59269,67613,77225,85976,"June 26, 2023"
Broomfield,CO,51291,58832,67115,76656,85342,"June 26, 2023"
Castle Rock,CO,50327,57726,65854,75215,83739,"June 26, 2023"
Colorado Springs,CO,50155,57529,65628,74958,83452,"June 26, 2023"
Denver,CO,51213,58743,67013,76539,85213,"June 26, 2023"
Fort Collins,CO,49424,56691,64672,73866,82236,"June 26, 2023"
Grand Junction,CO,51702,59303,67652,77270,86026,"June 26, 2023"
Greeley,CO,49533,56816,64815,74029,82418,"June 26, 2023"
Jefferson,CO,51304,58847,67131,76675,85363,"June 26, 2023"
Loveland,CO,49357,56614,64584,73765,82124,"June 26, 2023"
Pueblo,CO,47288,54240,61876,70672,78681,"June 26, 2023"
Westminster,CO,51213,58743,67013,76539,85213,"June 26, 2023"
Bridgeport,CT,57245,65661,74906,85554,95249,"June 26, 2023"
Bristol,CT,54423,62425,71214,81337,90554,"June 26, 2023"
Danbury,CT,55943,64168,73202,83608,93082,"June 26, 2023"
East Hartford,CT,54564,62586,71398,81547,90788,"June 26, 2023"
