city,state,10th,25th,50th,75th,90th,date
Saint Cloud,MN,48331,55436,63241,72231,80417,"June 26, 2023"
Saint Paul,MN,53687,61581,70250,80237,89329,"June 26, 2023"
Blue Springs,MO,49231,56469,64419,73577,81915,"June 26, 2023"
Chesterfield,MO,49320,56572,64536,73710,82063,"June 26, 2023"
Columbia,MO,49045,56255,64175,73299,81605,"June 26, 2023"
Florissant,MO,49535,56818,64817,74031,82420,"June 26, 2023"
Independence,MO,49366,56624,64595,73778,82139,"June 26, 2023"
Jefferson City,MO,47958,55009,62753,71674,79796,"June 26, 2023"
,,,,,,,
Kansas City,MO,49419,56685,64665,73858,82228,"June 26, 2023"
Lees Summit,MO,49231,56469,64419,73577,81915,"June 26, 2023"
O Fallon,MO,49212,56448,64395,73549,81884,"June 26, 2023"
Saint Charles,MO,49347,56602,64571,73750,82108,"June 26, 2023"
Saint Joseph,MO,48942,56138,64042,73146,81434,"June 26, 2023"
Saint Louis,MO,49616,56910,64923,74152,82555,"June 26, 2023"
Saint Peters,MO,49240,56479,64431,73590,81929,"June 26, 2023"
Springfield,MO,47106,54032,61639,70401,78379,"June 26, 2023"
Biloxi,MS,44662,51229,58441,66749,74313,"June 26, 2023"
Columbus,MS,42964,49281,56219,64211,71487,"June 26, 2023"
Greenville,MS,44798,51385,58619,66952,74539,"June 26, 2023"
Gulfport,MS,44309,50824,57979,66222,73726,"June 26, 2023"
Hattiesburg,MS,44032,50506,57617,65807,73264,"June 26, 2023"
Jackson,MS,45104,51735,59018,67408,75047,"June 26, 2023"
Meridian,MS,44667,51234,58447,66756,74321,"June 26, 2023"
Olive Branch,MS,46510,53348,60859,69510,77387,"June 26, 2023"
Pascagoula,MS,44455,50992,58170,66440,73969,"June 26, 2023"
Southaven,MS,46627,53483,61012,69686,77583,"June 26, 2023"
Tupelo,MS,42510,48760,55625,63533,70732,"June 26, 2023"
Belgrade,MT,42556,48812,55685,63601,70808,"June 26, 2023"
Billings,MT,48477,55604,63432,72450,80660,"June 26, 2023"
Bozeman,MT,42556,48812,55685,63601,70808,"June 26, 2023"
Butte,MT,42556,48812,55685,63601,70808,"June 26, 2023"
Great Falls,MT,44380,50905,58072,66327,73843,"June 26, 2023"
Helena,MT,43312,49679,56674,64730,72066,"June 26, 2023"
Kalispell,MT,45128,51763,59050,67445,75087,"June 26, 2023"
Missoula,MT,42556,48812,55685,63601,70808,"June 26, 2023"
Asheville,NC,46321,53132,60612,69229,77074,"June 26, 2023"
Burlington,NC,47947,54997,62739,71658,79778,"June 26, 2023"
Cary,NC,49117,56338,64270,73406,81725,"June 26, 2023"
Chapel Hill,NC,48532,55668,63505,72533,80752,"June 26, 2023"
Charlotte,NC,49227,56464,64413,73570,81907,"June 26, 2023"
Concord,NC,48312,55416,63217,72204,80386,"June 26, 2023"
Durham,NC,48823,56002,63886,72968,81237,"June 26, 2023"
Fayetteville,NC,46239,53038,60505,69106,76937,"June 26, 2023"
Gastonia,NC,49429,56696,64679,73873,82244,"June 26, 2023"
Greensboro,NC,48159,55239,63016,71975,80131,"June 26, 2023"
Greenville,NC,48764,55933,63808,72879,81138,"June 26, 2023"
Hickory,NC,48892,56080,63976,73070,81351,"June 26, 2023"
High Point,NC,48447,55569,63393,72405,80609,"June 26, 2023"
Jacksonville,NC,46063,52835,60274,68842,76643,"June 26, 2023"
Kannapolis,NC,47704,54718,62421,71295,79374,"June 26, 2023"
Raleigh,NC,49117,56338,64270,73406,81725,"June 26, 2023"
Rocky Mount,NC,48764,55933,63808,72879,81138,"June 26, 2023"
Salisbury,NC,47822,54853,62575,71471,79570,"June 26, 2023"
Wilmington,NC,46416,53240,60735,69370,77230,"June 26, 2023"
Wilson,NC,48764,55933,63808,72879,81138,"June 26, 2023"
Winston Salem,NC,48326,55431,63235,72224,80408,"June 26, 2023"
Bismarck,ND,49192,56425,64369,73519,81850,"June 26, 2023"
Dickinson,ND,48436,55558,63380,72390,80593,"June 26, 2023"
Fargo,ND,47277,54228,61863,70657,78664,"June 26, 2023"
Grand Forks,ND,45257,51911,59219,67637,75302,"June 26, 2023"
Mandan,ND,49192,56425,64369,73519,81850,"June 26, 2023"
Minot,ND,48436,55558,63380,72390,80593,"June 26, 2023"
West Fargo,ND,47277,54228,61863,70657,78664,"June 26, 2023"
Williston,ND,48436,55558,63380,72390,80593,"June 26, 2023"
Bellevue,NE,47642,54647,62340,71203,79271,"June 26, 2023"
Fremont,NE,46886,53780,61351,70073,78014,"June 26, 2023"
Grand Island,NE,46566,53413,60933,69595,77481,"June 26, 2023"
Hastings,NE,46566,53413,60933,69595,77481,"June 26, 2023"
Kearney,NE,46566,53413,60933,69595,77481,"June 26, 2023"
Lincoln,NE,47221,54164,61790,70574,78571,"June 26, 2023"
Norfolk,NE,43291,49656,56647,64700,72032,"June 26, 2023"
North Platte,NE,45691,52408,59787,68286,76024,"June 26, 2023"
Omaha,NE,47642,54647,62340,71203,79271,"June 26, 2023"
Bedford,NH,51702,59303,67652,77270,86026,"June 26, 2023"
Concord,NH,51712,59315,67666,77285,86043,"June 26, 2023"
Derry,NH,53104,60912,69487,79366,88359,"June 26, 2023"
Dover,NH,51954,59592,67982,77646,86445,"June 26, 2023"
Keene,NH,52229,59908,68342,78057,86903,"June 26, 2023"
Manchester,NH,51702,59303,67652,77270,86026,"June 26, 2023"
Merrimack,NH,54625,62656,71477,81638,90889,"June 26, 2023"
Nashua,NH,54625,62656,71477,81638,90889,"June 26, 2023"
Portsmouth,NH,51954,59592,67982,77646,86445,"June 26, 2023"
Rochester,NH,51742,59349,67705,77330,86093,"June 26, 2023"
Salem,NH,53818,61731,70422,80433,89547,"June 26, 2023"
Atlantic City,NJ,53977,61914,70630,80671,89812,"June 26, 2023"
Bayonne,NJ,57043,65430,74642,85253,94913,"June 26, 2023"
Bergenfield,NJ,58051,66586,75961,86759,96590,"June 26, 2023"
Bloomfield,NJ,58102,66644,76026,86834,96674,"June 26, 2023"
Camden,NJ,53476,61338,69973,79921,88977,"June 26, 2023"
Clifton,NJ,58102,66644,76026,86834,96674,"June 26, 2023"
East Brunswick,NJ,56973,65349,74549,85147,94796,"June 26, 2023"
East Orange,NJ,57043,65430,74642,85253,94913,"June 26, 2023"
Edison,NJ,56539,64852,73982,84500,94075,"June 26, 2023"
Elizabeth,NJ,57043,65430,74642,85253,94913,"June 26, 2023"
Hackensack,NJ,58051,66586,75961,86759,96590,"June 26, 2023"
Hoboken,NJ,59210,67916,77477,88491,98519,"June 26, 2023"
Irvington,NJ,57043,65430,74642,85253,94913,"June 26, 2023"
Jersey City,NJ,59210,67916,77477,88491,98519,"June 26, 2023"
Lakewood,NJ,56233,64500,73581,84041,93564,"June 26, 2023"
Middlesex,NJ,56539,64852,73982,84500,94075,"June 26, 2023"
New Brunswick,NJ,56973,65349,74549,85147,94796,"June 26, 2023"
Newark,NJ,57043,65430,74642,85253,94913,"June 26, 2023"
Paramus,NJ,58152,66702,76092,86910,96758,"June 26, 2023"
Passaic,NJ,58102,66644,76026,86834,96674,"June 26, 2023"
Paterson,NJ,58102,66644,76026,86834,96674,"June 26, 2023"
Perth Amboy,NJ,56539,64852,73982,84500,94075,"June 26, 2023"
Plainfield,NJ,56539,64852,73982,84500,94075,"June 26, 2023"
Sayreville,NJ,56973,65349,74549,85147,94796,"June 26, 2023"
Somerset,NJ,56746,65089,74253,84808,94419,"June 26, 2023"
Toms River,NJ,55383,63526,72470,82772,92152,"June 26, 2023"
Trenton,NJ,54963,63044,71920,82144,91452,"June 26, 2023"
Union,NJ,57043,65430,74642,85253,94913,"June 26, 2023"
Union City,NJ,59210,67916,77477,88491,98519,"June 26, 2023"
Vineland,NJ,53571,61448,70099,80064,89137,"June 26, 2023"
Wayne,NJ,58102,66644,76026,86834,96674,"June 26, 2023"
West New York,NJ,59210,67916,77477,88491,98519,"June 26, 2023"
West Orange,NJ,57043,65430,74642,85253,94913,"June 26, 2023"
Alamogordo,NM,44949,51558,58817,67178,74790,"June 26, 2023"
Albuquerque,NM,47380,54346,61998,70811,78835,"June 26, 2023"
Clovis,NM,45395,52070,59400,67844,75533,"June 26, 2023"
Farmington,NM,46744,53617,61165,69861,77777,"June 26, 2023"
Hobbs,NM,44985,51598,58863,67231,74849,"June 26, 2023"
Las Cruces,NM,42833,49130,56047,64015,71269,"June 26, 2023"
Rio Rancho,NM,47229,54173,61800,70585,78584,"June 26, 2023"
Roswell,NM,44193,50691,57828,66048,73533,"June 26, 2023"
Santa Fe,NM,47620,54621,62311,71169,79234,"June 26, 2023"
Sunland Park,NM,44076,50556,57674,65873,73337,"June 26, 2023"
Carson City,NV,50795,58263,66465,75914,84517,"June 26, 2023"
Henderson,NV,51022,58523,66762,76253,84894,"June 26, 2023"
Las Vegas,NV,51223,58754,67026,76554,85229,"June 26, 2023"
North Las Vegas,NV,51223,58754,67026,76554,85229,"June 26, 2023"
Reno,NV,50865,58344,66558,76020,84634,"June 26, 2023"
Sparks,NV,50865,58344,66558,76020,84634,"June 26, 2023"
Sun Valley,NV,50865,58344,66558,76020,84634,"June 26, 2023"
Albany,NY,51137,58656,66914,76426,85087,"June 26, 2023"
Binghamton,NY,48567,55707,63550,72585,80810,"June 26, 2023"
Brentwood,NY,55296,63426,72355,82641,92006,"June 26, 2023"
Bronx,NY,59210,67916,77477,88491,98519,"June 26, 2023"
Brooklyn,NY,59210,67916,77477,88491,98519,"June 26, 2023"
Buffalo,NY,49198,56432,64377,73528,81860,"June 26, 2023"
Clay,NY,50116,57485,65578,74900,83388,"June 26, 2023"
Henrietta,NY,49676,56979,65001,74241,82654,"June 26, 2023"
Huntington,NY,57562,66025,75321,86028,95777,"June 26, 2023"
Jamestown,NY,47726,54743,62450,71328,79410,"June 26, 2023"
Levittown,NY,55396,63540,72486,82790,92172,"June 26, 2023"
Mount Vernon,NY,58059,66595,75971,86771,96604,"June 26, 2023"
Nassau,NY,55396,63540,72486,82790,92172,"June 26, 2023"
New Rochelle,NY,57456,65903,75181,85869,95599,"June 26, 2023"
New Suffolk,NY,54637,62670,71493,81657,90910,"June 26, 2023"
New York,NY,59210,67916,77477,88491,98519,"June 26, 2023"
Niagara Falls,NY,49098,56316,64245,73378,81693,"June 26, 2023"
Poughkeepsie,NY,54272,62251,71015,81111,90302,"June 26, 2023"
Queens Village,NY,58706,67338,76818,87738,97680,"June 26, 2023"
Rochester,NY,49676,56979,65001,74241,82654,"June 26, 2023"
Schenectady,NY,51013,58513,66751,76240,84880,"June 26, 2023"
Staten Island,NY,56539,64852,73982,84500,94075,"June 26, 2023"
Syracuse,NY,50116,57485,65578,74900,83388,"June 26, 2023"
Troy,NY,51117,58633,66887,76396,85053,"June 26, 2023"
Utica,NY,49061,56274,64197,73323,81632,"June 26, 2023"
Yonkers,NY,58084,66624,76004,86809,96646,"June 26, 2023"
Akron,OH,48381,55494,63307,72307,80500,"June 26, 2023"
Canton,OH,47391,54359,62012,70828,78854,"June 26, 2023"
Chillicothe,OH,46612,53465,60993,69663,77557,"June 26, 2023"
Cincinnati,OH,49278,56523,64481,73647,81993,"June 26, 2023"
Cleveland,OH,49744,57058,65091,74344,82768,"June 26, 2023"
Columbus,OH,49478,56753,64743,73946,82326,"June 26, 2023"
Cuyahoga Falls,OH,48381,55494,63307,72307,80500,"June 26, 2023"
Dayton,OH,48885,56072,63966,73060,81339,"June 26, 2023"
Elyria,OH,48603,55749,63597,72638,80869,"June 26, 2023"
Euclid,OH,49704,57011,65038,74284,82701,"June 26, 2023"
Hamilton,OH,49076,56292,64217,73346,81657,"June 26, 2023"
Lakewood,OH,49744,57058,65091,74344,82768,"June 26, 2023"
Lima,OH,47570,54564,62245,71094,79150,"June 26, 2023"
Lorain,OH,49218,56454,64402,73557,81892,"June 26, 2023"
Mansfield,OH,48454,55578,63403,72416,80622,"June 26, 2023"
Middletown,OH,48683,55841,63703,72759,81003,"June 26, 2023"
Newark,OH,49176,56406,64347,73494,81823,"June 26, 2023"
Portsmouth,OH,46008,52772,60201,68760,76551,"June 26, 2023"
Springfield,OH,47842,54876,62602,71501,79603,"June 26, 2023"
Toledo,OH,48693,55853,63716,72774,81020,"June 26, 2023"
Youngstown,OH,47459,54436,62100,70928,78966,"June 26, 2023"
Altus,OK,42732,49015,55915,63864,71101,"June 26, 2023"
Bartlesville,OK,47539,54529,62206,71049,79100,"June 26, 2023"
Broken Arrow,OK,47842,54876,62602,71501,79603,"June 26, 2023"
Edmond,OK,45882,52627,60037,68571,76342,"June 26, 2023"
Enid,OK,45579,52280,59641,68119,75839,"June 26, 2023"
Lawton,OK,42883,49188,56113,64090,71353,"June 26, 2023"
Muskogee,OK,47539,54529,62206,71049,79100,"June 26, 2023"
Norman,OK,45730,52454,59839,68345,76090,"June 26, 2023"
Oklahoma City,OK,46033,52801,60234,68797,76593,"June 26, 2023"
Stillwater,OK,45579,52280,59641,68119,75839,"June 26, 2023"
Tulsa,OK,47993,55049,62799,71727,79855,"June 26, 2023"
Albany,OR,49217,56453,64401,73556,81891,"June 26, 2023"
Beaverton,OR,52499,60217,68695,78460,87351,"June 26, 2023"
Bend,OR,49037,56246,64165,73286,81591,"June 26, 2023"
Clackamas,OR,52431,60140,68607,78360,87240,"June 26, 2023"
Corvallis,OR,49188,56420,64363,73513,81844,"June 26, 2023"
Eugene,OR,49595,56887,64896,74122,82521,"June 26, 2023"
Gresham,OR,52431,60140,68607,78360,87240,"June 26, 2023"
Hillsboro,OR,52331,60025,68475,78210,87072,"June 26, 2023"
Lake Oswego,OR,52499,60217,68695,78460,87351,"June 26, 2023"
Medford,OR,49142,56367,64303,73444,81766,"June 26, 2023"
Oregon City,OR,52297,59986,68431,78159,87016,"June 26, 2023"
Portland,OR,52499,60217,68695,78460,87351,"June 26, 2023"
Salem,OR,49771,57088,65126,74384,82813,"June 26, 2023"
Springfield,OR,49485,56761,64752,73957,82337,"June 26, 2023"
Allentown,PA,50785,58251,66452,75899,84500,"June 26, 2023"
Altoona,PA,46965,53870,61454,70190,78144,"June 26, 2023"
Bethlehem,PA,50785,58251,66452,75899,84500,"June 26, 2023"
Doylestown,PA,54795,62851,71700,81892,91172,"June 26, 2023"
Easton,PA,50704,58159,66347,75779,84366,"June 26, 2023"
Erie,PA,46547,53390,60907,69565,77448,"June 26, 2023"
Greensburg,PA,48081,55150,62915,71859,80002,"June 26, 2023"
Harrisburg,PA,49015,56221,64137,73254,81555,"June 26, 2023"
Johnstown,PA,46542,53384,60900,69558,77440,"June 26, 2023"
Lancaster,PA,49369,56627,64599,73783,82144,"June 26, 2023"
Lebanon,PA,49177,56407,64349,73497,81825,"June 26, 2023"
Philadelphia,PA,53476,61338,69973,79921,88977,"June 26, 2023"
Pittsburgh,PA,49636,56933,64949,74182,82588,"June 26, 2023"
Reading,PA,50128,57498,65593,74918,83407,"June 26, 2023"
Scranton,PA,46775,53652,61206,69907,77828,"June 26, 2023"
State College,PA,46663,53523,61059,69739,77641,"June 26, 2023"
Stroudsburg,PA,51695,59295,67643,77259,86014,"June 26, 2023"
West Chester,PA,52810,60575,69103,78927,87870,"June 26, 2023"
Williamsport,PA,48020,55080,62835,71767,79900,"June 26, 2023"
York,PA,49399,56662,64639,73828,82194,"June 26, 2023"
Coventry,RI,52961,60748,69300,79152,88121,"June 26, 2023"
Cranston,RI,53062,60863,69432,79302,88289,"June 26, 2023"
Cumberland,RI,53062,60863,69432,79302,88289,"June 26, 2023"
East Providence,RI,53062,60863,69432,79302,88289,"June 26, 2023"
Narragansett,RI,53293,61128,69734,79647,88673,"June 26, 2023"
Newport,RI,53355,61199,69815,79740,88776,"June 26, 2023"
Pawtucket,RI,53062,60863,69432,79302,88289,"June 26, 2023"
Providence,RI,53062,60863,69432,79302,88289,"June 26, 2023"
Tiverton,RI,53566,61442,70092,80056,89128,"June 26, 2023"
Warwick,RI,53062,60863,69432,79302,88289,"June 26, 2023"
Westerly,RI,53618,61501,70160,80134,89214,"June 26, 2023"
Woonsocket,RI,53011,60805,69366,79227,88205,"June 26, 2023"
Aiken,SC,47015,53928,61520,70266,78228,"June 26, 2023"
Anderson,SC,47242,54188,61817,70605,78605,"June 26, 2023"
Charleston,SC,47854,54890,62617,71519,79623,"June 26, 2023"
Columbia,SC,46695,53560,61101,69787,77695,"June 26, 2023"
Florence,SC,45423,52101,59436,67886,75579,"June 26, 2023"
Goose Creek,SC,47783,54809,62525,71413,79506,"June 26, 2023"
Greenville,SC,47615,54616,62305,71162,79226,"June 26, 2023"
Hilton Head Island,SC,47045,53962,61559,70310,78278,"June 26, 2023"
Mount Pleasant,SC,47854,54890,62617,71519,79623,"June 26, 2023"
Myrtle Beach,SC,45567,52266,59624,68101,75818,"June 26, 2023"
North Charleston,SC,47854,54890,62617,71519,79623,"June 26, 2023"
Rock Hill,SC,49600,56893,64903,74129,82529,"June 26, 2023"
Spartanburg,SC,47363,54327,61975,70785,78807,"June 26, 2023"
Summerville,SC,47642,54647,62340,71203,79271,"June 26, 2023"
Sumter,SC,45060,51685,58962,67344,74975,"June 26, 2023"
Aberdeen,SD,41699,47830,54564,62320,69382,"June 26, 2023"
Brookings,SD,44481,51020,58203,66478,74011,"June 26, 2023"
Deadwood,SD,43584,49992,57030,65137,72518,"June 26, 2023"
Pierre,SD,42455,48697,55553,63450,70640,"June 26, 2023"
Rapid City,SD,44340,50859,58019,66267,73776,"June 26, 2023"
Sioux Falls,SD,45237,51887,59193,67607,75268,"June 26, 2023"
Watertown,SD,44481,51020,58203,66478,74011,"June 26, 2023"
Chattanooga,TN,45433,52112,59449,67900,75595,"June 26, 2023"
Clarksville,TN,45771,52500,59891,68406,76157,"June 26, 2023"
Franklin,TN,46818,53701,61262,69971,77899,"June 26, 2023"
Germantown,TN,46581,53429,60951,69616,77505,"June 26, 2023"
Hendersonville,TN,46912,53809,61384,70111,78055,"June 26, 2023"
Jackson,TN,46345,53159,60643,69264,77113,"June 26, 2023"
Johnson City,TN,43858,50306,57388,65547,72974,"June 26, 2023"
Kingsport,TN,44022,50494,57603,65792,73248,"June 26, 2023"
Knoxville,TN,46234,53032,60498,69098,76929,"June 26, 2023"
Memphis,TN,46698,53564,61105,69791,77700,"June 26, 2023"
Murfreesboro,TN,46629,53485,61015,69689,77586,"June 26, 2023"
Nashville,TN,46982,53890,61477,70216,78173,"June 26, 2023"
Abilene,TX,45564,52263,59621,68097,75813,"June 26, 2023"
Amarillo,TX,46209,53003,60465,69061,76887,"June 26, 2023"
Arlington,TX,49021,56229,64145,73264,81566,"June 26, 2023"
Austin,TX,49560,56847,64850,74069,82462,"June 26, 2023"
Beaumont,TX,48875,56061,63953,73045,81322,"June 26, 2023"
Brownsville,TX,44098,50581,57702,65905,73373,"June 26, 2023"
Carrollton,TX,50037,57394,65474,74782,83256,"June 26, 2023"
Corpus Christi,TX,47298,54251,61889,70687,78698,"June 26, 2023"
Dallas,TX,50064,57425,65509,74822,83301,"June 26, 2023"
Denton,TX,49360,56617,64588,73769,82129,"June 26, 2023"
El Paso,TX,44076,50556,57674,65873,73337,"June 26, 2023"
Fort Worth,TX,49102,56321,64251,73384,81700,"June 26, 2023"
Frisco,TX,49983,57332,65404,74702,83167,"June 26, 2023"
Galveston,TX,51319,58864,67151,76697,85389,"June 26, 2023"
Garland,TX,50064,57425,65509,74822,83301,"June 26, 2023"
Grand Prairie,TX,49957,57302,65369,74662,83122,"June 26, 2023"
Harlingen,TX,44168,50662,57795,66011,73491,"June 26, 2023"
Houston,TX,51273,58812,67092,76630,85313,"June 26, 2023"
Irving,TX,50064,57425,65509,74822,83301,"June 26, 2023"
Killeen,TX,45818,52554,59953,68476,76236,"June 26, 2023"
Laredo,TX,44914,51518,58771,67125,74732,"June 26, 2023"
Longview,TX,46009,52773,60203,68761,76553,"June 26, 2023"
Lubbock,TX,45388,52061,59390,67833,75520,"June 26, 2023"
Mcallen,TX,43337,49708,56707,64768,72107,"June 26, 2023"
Mckinney,TX,49903,57240,65298,74581,83033,"June 26, 2023"
Mesquite,TX,50011,57363,65439,74742,83212,"June 26, 2023"
Midland,TX,44985,51598,58863,67231,74849,"June 26, 2023"
Odessa,TX,44985,51598,58863,67231,74849,"June 26, 2023"
Pasadena,TX,51085,58596,66845,76348,85000,"June 26, 2023"
Plano,TX,50064,57425,65509,74822,83301,"June 26, 2023"
Port Arthur,TX,47882,54922,62654,71561,79670,"June 26, 2023"
Richardson,TX,50064,57425,65509,74822,83301,"June 26, 2023"
Round Rock,TX,49372,56631,64604,73788,82150,"June 26, 2023"
San Antonio,TX,48598,55743,63591,72631,80861,"June 26, 2023"
Temple,TX,45524,52217,59568,68037,75746,"June 26, 2023"
Waco,TX,45689,52406,59785,68284,76021,"June 26, 2023"
Wichita Falls,TX,46013,52778,60208,68767,76560,"June 26, 2023"
Layton,UT,46508,53346,60857,69508,77385,"June 26, 2023"
Lehi,UT,46117,52897,60344,68923,76733,"June 26, 2023"
Logan,UT,46028,52795,60228,68790,76585,"June 26, 2023"
Ogden,UT,46683,53546,61085,69769,77675,"June 26, 2023"
Orem,UT,46335,53147,60630,69249,77096,"June 26, 2023"
Provo,UT,46335,53147,60630,69249,77096,"June 26, 2023"
Saint George,UT,50467,57887,66037,75425,83972,"June 26, 2023"
Salt Lake City,UT,48341,55449,63255,72247,80434,"June 26, 2023"
Sandy,UT,48210,55298,63084,72051,80216,"June 26, 2023"
South Jordan,UT,48123,55198,62969,71921,80071,"June 26, 2023"
West Jordan,UT,48167,55249,63027,71987,80144,"June 26, 2023"
Alexandria,VA,56096,64343,73402,83837,93337,"June 26, 2023"
Annandale,VA,56096,64343,73402,83837,93337,"June 26, 2023"
Arlington,VA,56096,64343,73402,83837,93337,"June 26, 2023"
Centreville,VA,55894,64112,73138,83536,93002,"June 26, 2023"
Chesapeake,VA,47388,54356,62008,70823,78849,"June 26, 2023"
Hampton,VA,47711,54725,62430,71305,79385,"June 26, 2023"
Lynchburg,VA,46219,53015,60478,69076,76903,"June 26, 2023"
Newport News,VA,47711,54725,62430,71305,79385,"June 26, 2023"
Norfolk,VA,47449,54425,62087,70913,78949,"June 26, 2023"
Petersburg,VA,50190,57569,65674,75010,83510,"June 26, 2023"
Portsmouth,VA,47449,54425,62087,70913,78949,"June 26, 2023"
Reston,VA,55995,64228,73270,83686,93170,"June 26, 2023"
Richmond,VA,49777,57095,65134,74393,82823,"June 26, 2023"
Roanoke,VA,46588,53437,60960,69626,77516,"June 26, 2023"
Suffolk,VA,47422,54394,62052,70873,78904,"June 26, 2023"
Virginia Beach,VA,48174,55257,63037,71998,80157,"June 26, 2023"
Virginia State University,VA,50190,57569,65674,75010,83510,"June 26, 2023"
Barre,VT,49267,56511,64467,73631,81975,"June 26, 2023"
Bennington,VT,50957,58448,66677,76156,84786,"June 26, 2023"
Burlington,VT,49721,57031,65060,74309,82730,"June 26, 2023"
Colchester,VT,49721,57031,65060,74309,82730,"June 26, 2023"
Essex,VT,49721,57031,65060,74309,82730,"June 26, 2023"
Essex Junction,VT,49721,57031,65060,74309,82730,"June 26, 2023"
Montpelier,VT,49267,56511,64467,73631,81975,"June 26, 2023"
Rutland,VT,50067,57428,65513,74826,83305,"June 26, 2023"
South Burlington,VT,49721,57031,65060,74309,82730,"June 26, 2023"
Williston,VT,49721,57031,65060,74309,82730,"June 26, 2023"
Auburn,WA,54192,62160,70911,80992,90169,"June 26, 2023"
Bellevue,WA,55602,63777,72756,83099,92516,"June 26, 2023"
Bellingham,WA,51793,59407,67771,77405,86177,"June 26, 2023"
Bremerton,WA,54423,62424,71213,81337,90554,"June 26, 2023"
Everett,WA,54604,62633,71450,81608,90855,"June 26, 2023"
Federal Way,WA,54192,62160,70911,80992,90169,"June 26, 2023"
Kennewick,WA,53431,61287,69915,79854,88903,"June 26, 2023"
Kent,WA,54084,62036,70770,80830,89990,"June 26, 2023"
Lacey,WA,52429,60137,68604,78356,87236,"June 26, 2023"
Lakewood,WA,54192,62160,70911,80992,90169,"June 26, 2023"
Marysville,WA,54604,62633,71450,81608,90855,"June 26, 2023"
Olympia,WA,52429,60137,68604,78356,87236,"June 26, 2023"
Pasco,WA,52993,60784,69342,79199,88174,"June 26, 2023"
Renton,WA,55548,63715,72685,83018,92426,"June 26, 2023"
Richland,WA,53119,60929,69507,79387,88384,"June 26, 2023"
Seattle,WA,55602,63777,72756,83099,92516,"June 26, 2023"
Spokane,WA,49606,56899,64909,74137,82538,"June 26, 2023"
Tacoma,WA,54192,62160,70911,80992,90169,"June 26, 2023"
Vancouver,WA,52364,60063,68519,78260,87128,"June 26, 2023"
Yakima,WA,50845,58321,66531,75989,84600,"June 26, 2023"
Appleton,WI,48351,55460,63267,72262,80450,"June 26, 2023"
Eau Claire,WI,48242,55335,63126,72100,80270,"June 26, 2023"
,,,,,,,
Janesville,WI,49175,56405,64346,73493,81821,"June 26, 2023"
Kenosha,WI,49504,56783,64777,73985,82369,"June 26, 2023"
La Crosse,WI,46824,53708,61270,69980,77910,"June 26, 2023"
Madison,WI,49376,56635,64609,73793,82156,"June 26, 2023"
Milwaukee,WI,49872,57205,65258,74535,82981,"June 26, 2023"
Oshkosh,WI,48038,55101,62859,71795,79930,"June 26, 2023"
Racine,WI,49504,56783,64777,73985,82369,"June 26, 2023"
Waukesha,WI,49684,56989,65012,74254,82669,"June 26, 2023"
Beckley,WV,45499,52188,59535,67999,75704,"June 26, 2023"
Charleston,WV,45902,52650,60063,68601,76375,"June 26, 2023"
Fairmont,WV,49333,56587,64553,73730,82085,"June 26, 2023"
Huntington,WV,45010,51627,58896,67268,74891,"June 26, 2023"
Morgantown,WV,49333,56587,64553,73730,82085,"June 26, 2023"
Parkersburg,WV,44748,51327,58553,66877,74455,"June 26, 2023"
Weirton,WV,49126,56349,64282,73421,81740,"June 26, 2023"
Wheeling,WV,49333,56587,64553,73730,82085,"June 26, 2023"
Casper,WY,47247,54194,61823,70612,78614,"June 26, 2023"
Cheyenne,WY,46332,53143,60625,69244,77090,"June 26, 2023"
Cody,WY,47721,54737,62443,71320,79402,"June 26, 2023"
Gillette,WY,45038,51659,58932,67310,74937,"June 26, 2023"
Laramie,WY,46260,53061,60531,69136,76970,"June 26, 2023"
Riverton,WY,46491,53327,60834,69483,77356,"June 26, 2023"
Rock Springs,WY,47117,54045,61653,70418,78398,"June 26, 2023"
Sheridan,WY,47721,54737,62443,71320,79402,"June 26, 2023"
